Profile: Function timing, sorted by time
Date:    Wed Jan 26 00:11:30 2005


Program Statistics
------------------
    Command line at 2005 Jan 26 00:10: "D:\Games\QUAKE\qmb-V1" 
    Total time: 23034.221 millisecond
    Time outside of functions: 255.550 millisecond
    Call depth: 89
    Total functions: 1576
    Total hits: 30876687
    Function coverage: 42.0%
    Overhead Calculated 1224
    Overhead Average 1224

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 22778.671 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1576
    Hits in module: 30876687
    Module function coverage: 42.0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       1.407   0.0        1.407   0.0      342 _Hunk_FreeToHighMark (zone.obj)
       1.398   0.0        3.036   0.0        1 _Mod_LoadNodes (gl_model.obj)
       1.396   0.0        1.396   0.0     6483 _IN_Commands (in_win.obj)
       1.394   0.0        1.394   0.0    40401 _fullsize_upsample (jdsample.obj)
       1.392   0.0        1.392   0.0     6508 _SCR_DrawPause (gl_screen.obj)
       1.336   0.0        2.150   0.0    12964 _angledelta (view.obj)
       1.254   0.0        1.254   0.0     6481 _IN_JoyMove (in_win.obj)
       1.208   0.0        1.247   0.0        1 _WIPX_Shutdown (net_wipx.obj)
       1.189   0.0        1.189   0.0      105 _filelength (sys_win.obj)
       1.186   0.0      353.547   1.6      292 _Cmd_ExecuteString (cmd.obj)
       1.184   0.0       90.602   0.4        1 _GL_BuildLightmaps (gl_rsurf.obj)
       1.179   0.0        1.179   0.0    12964 _SNDDMA_Submit (snd_win.obj)
       1.178   0.0        1.178   0.0     6482 _V_DriftPitch (view.obj)
       1.164   0.0        1.164   0.0       83 _Sys_FileClose (sys_win.obj)
       1.136   0.0        4.842   0.0     6482 _V_CalcRoll (view.obj)
       1.128   0.0        1.128   0.0     6481 _V_StopPitchDrift (view.obj)
       1.109   0.0        1.761   0.0    12877 _MSG_ReadAngle (common.obj)
       1.050   0.0        1.050   0.0        1 _WIPX_OpenSocket (net_wipx.obj)
       1.028   0.0        3.728   0.0     6482 _Host_GetConsoleCommands (host.obj)
       1.021   0.0        1.021   0.0     6482 _CL_LerpPoint (cl_main.obj)
       1.016   0.0        1.016   0.0     8466 _addGrav (gl_rpart.obj)
       1.004   0.0       16.243   0.1        1 _MakeParticleTexure (gl_rpart.obj)
       0.991   0.0        0.991   0.0     6486 _SZ_Clear (common.obj)
       0.938   0.0        0.938   0.0    18643 _MSG_ReadChar (common.obj)
       0.936   0.0        0.936   0.0     6508 _GL_BeginRendering (gl_vidnt.obj)
       0.878   0.0        1.247   0.0      854 _CL_ParseClientdata (cl_parse.obj)
       0.840   0.0      434.074   1.9    13467 _process_data_simple_main (jdmainct.obj)
       0.798   0.0      434.872   1.9    13467 _jpeg_read_scanlines (jdapistd.obj)
       0.773   0.0        0.773   0.0    27136 _CRC_ProcessByte (crc.obj)
       0.772   0.0    19979.273  87.7     7617 _Host_Frame (host.obj)
       0.763   0.0       13.060   0.1       21 _BuildTris (gl_mesh.obj)
       0.687   0.0        2.337   0.0      143 _Cmd_AddCommand (cmd.obj)
       0.680   0.0        0.680   0.0      419 _Mod_FindName (gl_model.obj)
       0.675   0.0        1.382   0.0      331 _Con_DrawInput (console.obj)
       0.668   0.0        1.742   0.0        1 _WIPX_Init (net_wipx.obj)
       0.651   0.0       15.506   0.1       21 _GL_MakeAliasModelDisplayLists (gl_mesh.obj)
       0.622   0.0        0.622   0.0        1 _Hunk_Check (zone.obj)
       0.621   0.0        1.337   0.0        1 _Mod_LoadVertexes (gl_model.obj)
       0.621   0.0        0.621   0.0     2583 _emit_message (jerror.obj)
       0.615   0.0        0.615   0.0       98 _GL_FindTexture (gl_draw.obj)
       0.578   0.0        1.729   0.0        1 _Mod_LoadPlanes (gl_model.obj)
       0.548   0.0        1.350   0.0        1 _SV_Init (sv_main.obj)
       0.506   0.0        0.526   0.0        1 _Mod_Init (gl_model.obj)
       0.482   0.0        0.983   0.0      722 _SubdividePolygon (gl_warp.obj)
       0.476   0.0        1.035   0.0        1 _PR_Init (pr_edict.obj)
       0.444   0.0        7.330   0.0        1 _GL_SkinSplitShirt (gl_model.obj)
       0.443   0.0        1.343   0.0        1 _Mod_LoadLeafs (gl_model.obj)
       0.440   0.0        0.632   0.0        1 _Host_WriteConfiguration (host.obj)
       0.428   0.0        1.926   0.0        1 _Mod_LoadEdges (gl_model.obj)
       0.427   0.0        1.728   0.0        4 _COM_LoadPackFile (common.obj)
       0.422   0.0        0.422   0.0     6090 _Q_strncpy (common.obj)
       0.402   0.0        0.523   0.0      174 _jpeg_make_d_derived_tbl (jdhuff.obj)
       0.386   0.0       31.455   0.1     5274 _GL_CreateSurfaceLightmap (gl_rsurf.obj)
       0.386   0.0        0.386   0.0       51 _Img_HasFullbrights (gl_model.obj)
       0.385   0.0        7.543   0.0     5761 _Hunk_Alloc (zone.obj)
       0.383   0.0        0.383   0.0      309 _Q_atof (common.obj)
       0.377   0.0        0.379   0.0        2 _IN_DeactivateMouse (in_win.obj)
       0.373   0.0        9.416   0.0     5917 _Cache_FreeLow (zone.obj)
