Profile: Function timing, sorted by time
Date:    Mon May 17 15:57:30 2004


Program Statistics
------------------
    Command line at 2004 May 17 15:54: "D:\Games\QUAKE\qmb-V1" 
    Total time: 97571.555 millisecond
    Time outside of functions: 547.600 millisecond
    Call depth: 89
    Total functions: 1625
    Total hits: 6328576
    Function coverage: 34.8%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 97023.955 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1625
    Hits in module: 6328576
    Module function coverage: 34.8%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       2.970   0.0       15.761   0.0        2 _Mod_LoadPlanes (gl_model.obj)
       2.953   0.0        1.237   0.0     1180 _CL_AdjustAngles (cl_input.obj)
       2.931   0.0        2.931   0.0      142 _Sys_FileClose (sys_win.obj)
       2.791   0.0      247.751   0.3     1182 _R_DrawViewModel (gl_rmain.obj)
       2.413   0.0        2.413   0.0        2 _Hunk_Check (zone.obj)
       2.095   0.0      553.013   0.6     3546 _Sbar_DrawNum (sbar.obj)
       1.907   0.0        5.567   0.0        1 _Scrap_Upload (gl_draw.obj)
       1.718   0.0        1.718   0.0     3762 _AngleVectors (mathlib.obj)
       1.647   0.0       34.727   0.0       91 _EmitSkyPolysMulti (gl_warp.obj)
       1.636   0.0     8858.913   9.1      203 _Draw_BeginDisc (gl_draw.obj)
       1.583   0.0       69.947   0.1       22 _GL_MakeAliasModelDisplayLists (gl_mesh.obj)
       1.523   0.0      241.475   0.2     1182 _R_PushDlights (gl_rlight.obj)
       1.521   0.0        1.521   0.0      166 _Sys_FileSeek (sys_win.obj)
       1.474   0.0        1.474   0.0        1 _WIPX_OpenSocket (net_wipx.obj)
       1.462   0.0       64.432   0.1     1182 _V_CalcRefdef (view.obj)
       1.400   0.0        1.400   0.0      788 _Mod_FindName (gl_model.obj)
       1.207   0.0        1.213   0.0        3 _CDAudio_GetAudioDiskInfo (cd_win.obj)
       1.144   0.0     3984.807   4.1      237 _loadimagepixels (gl_draw.obj)
       1.136   0.0        1.136   0.0       58 _png_create_read_struct (libpng12.dll)
       0.928   0.0        0.915   0.0        3 _R_ClearParticles (gl_rpart.obj)
       0.842   0.0      268.800   0.3        1 _R_InitOtherTextures (gl_rmisc.obj)
       0.831   0.0        0.831   0.0       58 _png_destroy_read_struct (libpng12.dll)
       0.792   0.0       35.519   0.0     4250 _R_DrawSkyChain (gl_warp.obj)
       0.739   0.0        0.767   0.0        2 _Mod_MakeHull0 (gl_model.obj)
       0.733   0.0      271.363   0.3        2 _R_InitSky (gl_warp.obj)
       0.692   0.0        0.524   0.0      119 _Con_Print (console.obj)
       0.660   0.0        0.000   0.0        1 _SV_Init (sv_main.obj)
       0.638   0.0    96943.275  99.9        1 _WinMain@16 (sys_win.obj)
       0.637   0.0        5.131   0.0        2 _CL_ClearState (cl_main.obj)
       0.595   0.0        0.595   0.0        2 _S_BlockSound (snd_win.obj)
